Pos,ID,Name,Link,Year,Author,Notes,Source,Type,R1 points,R1 Total,R1 Diff,R1 %,R1 Pos,R1 EnID,R1 En,R1 Grp,R1 Rep,R2 points,R2 total,R2 Diff,R2 %,R2 Pos,R2 Sup,R2 EnId,R2 En,R2 Grp,R3 points,R3 total,R3 Diff,R3 %,R3 Pos,R3 Sup,R3 EnId,R3 En,R3 Time,R3 Grp
67,26,Cicanevek,https://www.tumblr.com/tumbliveleje/188900052339/itt-is-megfuttatom-sz%C3%B3val-lett-k%C3%A9t-ilyen-kis?source=share&_branch_match_id=link-1160321678371194825,2019,paflany,303,Tumblr,thread,32,125,-61,25.60%,2,25,56-os nők,X,,,,,,,,,,,,,,,,,,,,
68,46,Filmcímek,https://at.tumblr.com/tumbliveleje/647216781973405696/d23r6f2eyekz,2021,remetekan,146,Tumblr,thread,31,88,-26,35.23%,2,45,Hülyenévthread,X,,,,,,,,,,,,,,,,,,,,
69,36,We love Budapest cikk,https://at.tumblr.com/tumbliveleje/egy-fikt%C3%ADv-welovebudapest-cikk-by-me/0qhr1464gpmn,2018,99123785,376,Tumblr,text,31,100,-38,31.00%,2,35,Közmondás mémek,X,,,,,,,,,,,,,,,,,,,,
70,48,Balekosz,https://at.tumblr.com/tumbliveleje/balekosz-fekete-d%C3%A1k%C3%B3-terry-blank-mang%C3%B3/937v7mnb4ieo,2021,tenykozleseim,197,Tumblr,thread,31,109,-47,28.44%,2,47,90-es évek vidék,X,,,,,,,,,,,,,,,,,,,,
71,4,Pörköltzabáló nyanya,https://www.tumblr.com/tumbliveleje/187980246624/arcom-amikor-az-els%C5%91oszt%C3%A1ly%C3%BA-kocsiban-sem-siker%C3%BCl?source=share&_branch_match_id=link-1160217504497272163,2017,senkisemtudjahogyan,308,Tumblr,text,31,186,-124,16.67%,2,3,Zoli a pók,X,,,,,,,,,,,,,,,,,,,,
72,81,Zámbó Jimmy emlékhonlap,https://at.tumblr.com/tumbliveleje/meg-van-baszva-a-d%C3%A9lut%C3%A1nom/13ztozxo3bow,2018,ciganyolga,598,Tumblr,text,30,71,-11,42.25%,1,82,Kurwa Union,X,,,,,,,,,,,,,,,,,,,,
73,18,Pötyi,https://www.tumblr.com/tumbliveleje/188236266209/v%C3%A9letlen%C3%BCl-seggbedugtam-a-csajomat?source=share&_branch_match_id=link-1160323678588634642,2017,fanokvagyunk,189,Tumblr,text,30,84,-24,35.71%,2,17,Perszonál kontent,X,,,,,,,,,,,,,,,,,,,,
74,85,Weiler Péter,https://at.tumblr.com/tumbliveleje/instantfollow-pappito-foketusz/zo7ch1vpqt2a,2015,klaarg,592,Tumblr,thread,27,75,-21,36.00%,1,86,Rálépett egy migráns,X,,,,,,,,,,,,,,,,,,,,
75,68,Valentino vs Toms,https://www.tumblr.com/tryagain/135907029744/legnagyobb-kar%C3%A1csonyi-prank,2015,jourjean,249,Tumblr,text,26,75,-23,34.67%,2,67,Földhözbaszott torta,X,,,,,,,,,,,,,,,,,,,,
76,49,Banki ügyintézés,https://at.tumblr.com/tumbliveleje/656587179427004416/w5hn8jj262fe,2021,udv-wilson,172,Tumblr,text,26,78,-26,33.33%,1,50,Országszlogen,X,,,,,,,,,,,,,,,,,,,,
77,14,Majdnem belefulladtam,https://www.tumblr.com/tumbliveleje/188500532304/b-majdnem-belefulladtam-a-dun%C3%A1ba?source=share&_branch_match_id=link-1160323943622510125,2017,fanokvagyunk,149,Tumblr,text,26,115,-63,22.61%,2,13,40 ezret,X,,,,,,,,,,,,,,,,,,,,
