Pos,ID,Name,Link,Year,Author,Notes,Source,Type,Logo,R1 points,R1 Total,R1 Diff,R1 %,R1 Pos,R1 EnID,R1 En,R1 Grp,R1 Rep,R2 points,R2 total,R2 Diff,R2 %,R2 Pos,R2 Sup,R2 EnId,R2 En,R2 Grp,R3 points,R3 total,R3 Diff,R3 %,R3 Pos,R3 Sup,R3 EnId,R3 En,R3 Time,R3 Grp,R4 points,R4 total,R4 Diff,R4 %,R4 Pos,R4 Sup,R4 EnId,R4 En,R4 Time,R4 Grp
45,56,Mosogatógép,https://at.tumblr.com/tumbliveleje/hossz%C3%BA-t%C3%B6rt%C3%A9net-arr%C3%B3l-hogy-a-modern-technika/g55wunu8me0q,2015,malachiefconstant,164,Tumblr,text,,41,79,3,51.90%,2,55,Buttplugthread,H,,21,149,-107,14.09%,2,0,3,Zoli a pók,X,,,,,,,,,,,,,,,,,,,,
46,19,Barilla a csomagtartóban,https://www.tumblr.com/tumbliveleje/188040841019/petrany-ennyire-m%C3%A1r-r%C3%A9g-pakoltam-tele?source=share&_branch_match_id=link-1160323451529987258,2018,petrany,317,Tumblr,text,,47,90,4,52.22%,1,20,Kakóscsiga evése,G,,19,105,-67,18.10%,2,1,21,IT kábelezés,X,,,,,,,,,,,,,,,,,,,,
47,53,Konditermi típusok,https://at.tumblr.com/tumbliveleje/konditermi-t%C3%ADpusok/qo7qg9ep00mj,2018,bubikort,453,Tumblr,text,,52,89,15,58.43%,1,54,Lakossági Thread eredet,F,,15,121,-91,12.40%,2,0,71,Dinoszaurusz,X,,,,,,,,,,,,,,,,,,,,
48,70,Pénzcsipesz,https://www.tumblr.com/kacsanova/186676396961/instantfollow-paeoniaalba-egyszavak,2019,turisz,358,Tumblr,thread,,30,58,2,51.72%,2,69,Pina az idő,H,,5,120,-110,4.17%,2,0,41,Tinky Winky,X,,,,,,,,,,,,,,,,,,,,
49,65,Palacsintafityma,https://www.tumblr.com/orulunkvincent/709408798677368832/m%C3%A1jkr%C3%A9mes-palacsint%C3%A1r%C3%B3l-m%C3%A9g-nem-hallottam-h%C3%A1l,2023,tenykozleseim,316,Tumblr,thread,,57,157,-43,36.31%,1,66,Belekakkantottak,R,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,Rókafarok,https://www.tumblr.com/tumbliveleje/187979364039/%C3%BCzenet?source=share&_branch_match_id=link-1160216802836350172,2015,amugydori,324,Tumblr,text,,54,177,-69,30.51%,2,1,Cingi a gekkó,R,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,27,Normális polgári lány,https://www.tumblr.com/tumbliveleje/188903446514/be%C3%A1ll%C3%ADtotta-a-emojit-a-chat-emojinak?source=share&_branch_match_id=link-1160322146916894674,2019,teaszunet,572,Tumblr,text,,64,154,-26,41.56%,1,28,Lovas színház,R,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,80,Rákos lettem a threadtől,https://www.tumblr.com/joe-a-nevem/145347487067/gyere-induljunk-s%C3%B6t%C3%A9tben-fogd-a-kezem-sz%C3%ADvjunk,2016,minta-kiontottviz,4535,Tumblr,thread,,33,67,-1,49.25%,2,79,Skóciában mászni,R,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,69,Pina az idő,https://tumblr.sztupy.hu/post/171838966281/%C3%ADrd-le-hogy-mennyi-az-id%C5%91-%C3%A9s-hogy-mi-j%C3%A1r-a,2015,seholsemmi456,11902,Tumblr,thread,,28,58,-2,48.28%,1,70,Pénzcsipesz,R,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,Buttplugthread,https://at.tumblr.com/tumbliveleje/venn%C3%A9k-neked-buttplug-ot-kar%C3%A1csonyra/9nd751w817v8,2022,kockalany,92,Tumblr,text,,38,79,-3,48.10%,1,56,Mosogatógép,R,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
